wavfile,groundtruth
./Mike/3973.wav,you can also inflate or top up the life jacket by blowing it into the mouthpiece and use the whistle to attract attention
./Mike/7100.wav,according to the latest information from air traffic control the airport in philadelphia is closed due to weather conditions
./Mike/10464.wav,if cabin air pressure were interrupted for any reason a panel would open automatically exposing several oxygen masks
./Mike/9054.wav,please take a moment now to locate the exit doors closest to you bearing in mind that your closest exit may be behind you
./Mike/1320.wav,remove the life vest from the pouch under your seat or below your armrest in the unlikely event of an emergency of the water
./Mike/2022.wav,passengers are requested to follow the white lights along the base of the seats that will lead them to the red light which marks the exits
./Mike/8162.wav,we encourage you to evaluate our service by completing our customer feedback form located in the seat pocket in front of you
./Mike/11139.wav,hello ladies and gentlemen and children this is your flight commander speaking i would like to share some information about our flight
./Mike/1999.wav,if you continue to other flights tonight please remember that you must collect your luggage as it will not be transferred to your next flight
./Mike/4668.wav,please review the responsibilities of emergency exit seating on the back of the safety information card which is in your seat pocket
./Mike/10386.wav,when the seatbelt sign is illuminated during take off and landing mobile phones may not be used at any time aboard this aircraft
./Mike/9241.wav,passengers are prohibited from approaching the flight deck except for safety reasons or with the express authority of the crew
./Mike/11057.wav,hello ladies and gentlemen and children this is your captain speaking i would like to provide some information about our flight
./Mike/10041.wav,your aircraft is equipped with smoke alarms including lavatories so no smoking is allowed until you are back on the ground
./Mike/4140.wav,if you are traveling with a child or someone who requires assistance secure your mask first and assist the other person
./Mike/2509.wav,fasten your seat belt by placing the metal fitting into the buckle and adjust the strap so it fits low and tight around your hips
./Mike/8192.wav,in the event of an evacuation move quickly to the exit nearest you and jump into the slide leaving all carry on luggage behind
./Mike/7539.wav,passengers are prohibited from approaching the cockpit except for safety reasons or when specifically authorized by the crew
./Mike/7352.wav,if your travel plans do not include visiting paris then now would be the perfect time to make yourself known to a cabin crew member
./Mike/2729.wav,you will find a complimentary copy of our inflight magazine in the seat pocket in front of you that we have placed for your enjoyment today
./Mike/8582.wav,pull the mask towards you place it over your nose and mouth and slip the elastic band over your head tighten it by pulling the straps
./Mike/8183.wav,smoke free environment please note that the no smoking signs will be illuminated throughout the aircraft for the duration of this flight
./Mike/6275.wav,to help us ensure a promised departure we would kindly ask that you keep the aisle clear enabling all remaining customers to board
./Mike/1893.wav,it is prohibited to smoke or wear headsets connected to a personal entertainment device such as a cd player until inside the terminal 
./Mike/499.wav,in a few moments the air hostesses will make the tour of the cabin to offer you hot or cold drinks as well as breakfast and snacks
./Mike/3290.wav,electronic devices even the cooler ones can interfere with our systems during take off and landing so switch them off
